,Implement,Load_Percentage,Speed,Area_Covered,HP_of_Tractor,Working_Depth,Working_Width,Fuel_Consumed,Fuel_Efficiency,Soil_Type,Terrain_Condition
53,Plow,56.97140546082214,9.02614020171363,4.009777414893559,49.12819964857394,20.67877688564765,,40.54,10.11,Loamy,Flat
54,Seeder,51.70482881206239,9.067943145968812,3.003645701960683,30.672306508521217,,1.4994862749216473,21.08,7.02,Loamy,Flat
55,Harrow,75.71527582966205,3.072888191184852,2.3337888261991884,73.103103517842,17.430602772092676,,13.74,5.89,Clay,Hilly
56,Harrow,56.87337591219399,7.3522162183718525,3.107581121216902,78.55159344590282,10.920086247559144,,27.13,8.73,Clay,Hilly
57,Plow,69.13633532878852,3.2059178540961355,1.797479696741499,62.784433321322815,24.369338250060494,,6.54,3.64,Silty,Very Hilly
58,Harrow,67.7878288662843,2.8363042727689836,0.6991062148327298,82.37779349485001,28.945288686238815,,6.69,9.56,Silty,Hilly
59,Plow,73.658518398149,9.245739872294862,4.622942062337904,77.33956600529636,22.311962975062578,,105.28,22.77,Clay,Hilly
60,Sprayer,86.86603047624666,5.0759573549327754,0.9706981771102949,47.950959123554426,,2.5960103616424544,12.39,12.76,Sandy,Hilly
61,Plow,66.27435068308941,8.559131571775499,0.8423511605013121,73.7640372179512,19.683574201690554,,11.54,13.7,Silty,Flat
62,Rotavator,62.878176281177275,2.6740556751295097,2.215127089118588,50.97799734814413,6.478519141375031,,1.77,0.8,Loamy,Very Hilly
63,Harrow,98.50115474106497,5.922260595294437,1.1244790357349816,57.346606456764256,14.675531363675766,,12.54,11.15,Silty,Slightly Hilly
64,Plow,95.20945479082155,8.71458337498436,3.9830958821080324,71.46751898530407,9.944990418765446,,46.75,11.74,Loamy,Flat
65,Rotavator,54.08861010165104,9.7292689102233,4.33254065711872,57.878488434076985,19.12202776741087,,52.15,12.04,Silty,Slightly Hilly
66,Plow,60.117696646522255,5.270015045563511,2.9613111183114604,94.15005991278655,29.047317631957924,,41.33,13.96,Clay,Very Hilly
67,Rotavator,79.38381992086383,8.62891166806321,3.4485848670235235,48.824936959954606,22.002339687162216,,36.92,10.71,Clay,Very Hilly
68,Harrow,76.55006907523637,2.6112586715303827,1.688512741705577,66.66875634758321,15.550315755797715,,6.72,3.98,Silty,Slightly Hilly
69,Sprayer,64.04161381295208,8.809176213180132,3.779535175254458,36.855387121195236,,2.5623688012244874,76.16,20.15,Sandy,Slightly Hilly
70,Sprayer,57.2414450288698,8.259394989552025,0.5417063974847893,35.3604106956812,,2.912496746332586,11.03,20.35,Clay,Slightly Hilly
72,Plow,89.01106139833107,4.408266343325192,3.756767514215324,33.13619469346308,17.71319441928368,,8.38,2.23,Sandy,Very Hilly
73,Rotavator,72.96820619807355,9.523031671021485,3.61182561057093,69.23136777100518,13.074752773626528,,32.93,9.12,Sandy,Hilly
74,Rotavator,78.0698557746969,7.765779870291285,4.4882047580740565,53.84152166438637,10.888681456385372,,37.24,8.3,Silty,Slightly Hilly
75,Harrow,63.62742780061427,5.185073248290779,0.7561283334343722,60.83140391286156,8.581994972162894,,1.83,2.42,Sandy,Very Hilly
76,Harrow,67.42841376669206,6.690590283111258,2.996453339034317,47.82542663958539,20.455390225437796,,19.57,6.53,Clay,Very Hilly
77,Seeder,67.71986143211564,3.705452439242368,1.7096518938583172,47.828439872062525,,3.168526637891544,16.17,9.46,Silty,Very Hilly
78,Harrow,93.97150462896919,7.017312329051745,1.9262734972965028,88.02443965782567,9.18325283734583,,22.08,11.46,Silty,Slightly Hilly
79,Plow,78.96105908694635,7.440972622213007,1.5004380074076207,76.01099894478634,24.217942203859337,,30.8,20.53,Loamy,Flat
80,Plow,99.25072943636445,8.664587832166191,3.028417193122456,30.238463398320054,26.981696619611466,,20.23,6.68,Sandy,Very Hilly
81,Sprayer,64.92491493326787,5.220779534637841,3.938225347186524,68.35936799703636,,3.1633230727450075,91.77,23.3,Sandy,Slightly Hilly
82,Rotavator,93.59417665632756,7.499301500217645,4.38538684913121,85.36544037227168,19.48963640033371,,81.83,18.66,Loamy,Slightly Hilly
83,Sprayer,77.94220947314383,2.2893548585982773,3.5376394677839977,74.78957031657137,,3.532488379990134,35.85,10.13,Sandy,Very Hilly
84,Harrow,85.6883434154974,3.7598411218595,4.36453913355232,38.02601357238259,24.09539263015823,,18.9,4.33,Loamy,Very Hilly
86,Seeder,82.87216034546718,8.034338784995342,2.882484542636029,68.25367416185735,,2.187464727642129,44.39,15.4,Sandy,Very Hilly
88,Sprayer,63.9025754749144,3.909891879343917,2.4659744852116896,43.388499615742795,,1.4851943588183056,21.05,8.53,Clay,Slightly Hilly
89,Harrow,92.43336419134035,3.8928353940407945,4.596138208483627,43.924924947966836,13.259839466604516,,22.91,4.98,Silty,Flat
90,Harrow,50.29901949638907,7.500855288526145,1.197227311646623,34.84267343118364,17.686863142117073,,4.05,3.38,Sandy,Hilly
91,Sprayer,64.58755715968724,3.71763681094792,1.6463998013688113,98.91709532791269,,3.7016337524839193,46.06,27.98,Sandy,Flat
92,Seeder,99.04067808182151,5.219395129967413,3.237905639254085,45.59724541545974,,3.433880916706454,83.51,25.79,Loamy,Slightly Hilly
93,Plow,54.75367917487024,8.62378834051345,1.0592693472430887,43.906490711837186,22.481188892640564,,4.9,4.62,Loamy,Very Hilly
94,Harrow,94.57933411036592,4.745227273921224,1.0444153104817229,89.94150546020333,16.286897532347965,,15.48,14.83,Clay,Flat
95,Plow,96.48471054153201,3.3889169468878677,2.225562438534189,59.605034675732696,22.529119753794433,,11.06,4.97,Sandy,Very Hilly
96,Sprayer,87.48200077447399,4.281877557884257,3.9828492461666833,72.09794558842933,,1.586611571885531,69.79,17.52,Loamy,Hilly
97,Harrow,64.67008150838573,9.32790076169713,2.1419000583672823,58.879744298684834,20.605429423409305,,22.66,10.58,Sandy,Slightly Hilly
98,Harrow,90.54169244973656,6.769582374364694,3.3755426387146765,61.4606849004372,18.679079420617665,,49.81,14.76,Clay,Hilly
99,Seeder,56.43547076060291,6.858018441621986,1.7958378786760205,84.84969761489089,,2.9095957035031894,40.05,22.3,Clay,Hilly
101,Harrow,58.38702790901338,2.3578155636705977,3.316042712694284,59.84301673687038,7.099027924939437,,2.95,0.89,Sandy,Slightly Hilly
102,Harrow,96.14972390403557,9.570913606262703,2.6572833978489463,39.58921019083614,15.047687092742303,,18.12,6.82,Sandy,Very Hilly
103,Rotavator,83.71257433897411,9.30385837051801,2.2596076458209566,51.27934868316147,23.351067443161607,,33.84,14.97,Loamy,Hilly
104,Harrow,61.94730036741374,6.604690101108488,1.5475363475846189,59.11529576460457,18.852552756232015,,16.5,10.66,Clay,Hilly
105,Seeder,97.73260194320216,6.5140630726256665,0.7903266502806832,56.24969981059286,,1.226823621731186,13.22,16.73,Clay,Flat
106,Plow,59.7905365217339,6.612578887829015,3.323787828464983,69.50838743363875,11.875205928439543,,11.93,3.59,Silty,Very Hilly
107,Harrow,92.25021141146843,7.727189714442693,4.996817339522243,77.36470608406393,18.766489626473536,,79.6,15.93,Silty,Very Hilly
108,Seeder,52.42592585622045,7.4573915281729075,1.6485797258471362,99.58523368835479,,1.7802777678684922,19.18,11.63,Sandy,Hilly
109,Plow,60.19221886831042,4.306366668263355,3.207582986614829,85.73496322680599,19.750498986446672,,27.59,8.6,Silty,Slightly Hilly
110,Plow,62.252653212909635,8.886472416436376,1.0471390816690824,50.27233447208714,19.501940960747003,,9.47,9.04,Silty,Slightly Hilly
111,Harrow,60.05919761693359,8.25912707816976,3.2355794565274087,89.33926545093814,7.47271872223776,,26.33,8.14,Loamy,Flat
112,Plow,59.02690750805792,5.312644724845685,0.7930922352282171,97.29275474412506,27.619674483030032,,6.42,8.09,Loamy,Very Hilly
113,Plow,79.96890482049267,5.4416797171073945,4.070064212018655,77.40455846536537,20.323513865537997,,36.0,8.84,Clay,Very Hilly
114,Seeder,75.1161955856097,2.885997225145222,4.614067986127408,55.00807543963702,,2.0695728196203413,33.37,7.23,Silty,Hilly
115,Harrow,54.20646313561972,8.317980109499938,4.749671229786369,97.56664062524158,12.882581296956385,,54.48,11.47,Silty,Flat
116,Seeder,58.253872665523716,6.726713467370855,0.8517404429127562,65.95574297150726,,2.4422873400234124,17.15,20.14,Clay,Slightly Hilly
117,Harrow,99.06397869295117,9.827923799033197,2.5112830463980735,59.44333630235249,21.064231313639716,,56.76,22.6,Loamy,Hilly
118,Plow,72.11066227466398,6.983226347429468,3.7243585760140383,90.95711169454374,9.095042124014611,,20.88,5.61,Loamy,Very Hilly
119,Sprayer,94.08467905321069,2.0303634433292492,2.9710783788938695,69.83190532570228,,3.7458609795265967,62.96,21.19,Silty,Slightly Hilly
120,Seeder,50.39256691794256,2.6729495275002355,3.032820086121573,33.67853134495683,,3.7723918171476067,18.89,6.23,Clay,Flat
121,Plow,62.45659099006478,6.7712324104456245,3.480495886730001,65.93524534570565,6.752372871139945,,11.61,3.34,Silty,Slightly Hilly
122,Rotavator,56.179670983955624,3.011251697750742,3.1845777296639555,76.77372563869889,13.185742687243474,,10.57,3.32,Loamy,Slightly Hilly
123,Harrow,85.01565348814499,6.606183687071614,1.3031372603921307,52.882353072219004,6.1695030450426165,,6.4,4.91,Loamy,Flat
124,Harrow,97.27075120841585,5.731772099815236,2.844915801707593,70.18400078881885,20.615717827503584,,37.24,13.09,Sandy,Slightly Hilly
125,Plow,56.246020078381754,5.276223217660103,4.327905473436511,38.616352309515236,26.742498382414798,,17.32,4.0,Loamy,Slightly Hilly
126,Harrow,85.34891458151321,5.048387126204353,4.305782361494542,53.311194004846215,23.08953196472591,,60.32,14.01,Clay,Flat
127,Sprayer,98.00922144537729,2.790659021153881,4.198037561110999,48.61518560957644,,1.1625734101618463,17.71,4.22,Sandy,Slightly Hilly
128,Seeder,55.32463628152666,9.41657537629621,3.9136611428143753,61.46723839203027,,1.6656119902767679,66.52,17.0,Loamy,Slightly Hilly
129,Harrow,95.37336340363007,6.034706029913607,3.6204353584703344,87.90643438712362,6.783191472015346,,27.26,7.53,Silty,Slightly Hilly
130,Plow,77.73603731108197,5.8132457977084435,4.012946628191656,37.05540938092931,23.626320358431663,,23.16,5.77,Silty,Very Hilly
131,Harrow,80.1781483105506,6.9130193501758646,1.8164411301899444,54.66718790006823,13.712977479046602,,12.72,7.0,Sandy,Flat
132,Seeder,88.17532558945885,9.514511450220924,2.035766680163007,75.67031566913506,,3.215142278305402,71.75,35.24,Sandy,Slightly Hilly
133,Seeder,93.81226228560207,9.061497311363627,1.5551379537666437,87.60660553749537,,1.3568261916925124,53.33,34.29,Loamy,Flat
134,Sprayer,79.00175865852863,6.036134743126716,0.7012686218677583,65.95984044159916,,2.358062824507071,19.17,27.34,Sandy,Flat
135,Harrow,66.24336481069743,5.74990512711098,2.088802448986162,49.71262373754553,10.402386984739806,,5.9,2.82,Silty,Very Hilly
136,Plow,85.99474938180379,7.451933378666567,3.1888551047935856,67.32051475212756,16.51436751066828,,35.04,10.99,Loamy,Slightly Hilly
137,Harrow,99.27755505294118,8.435317290906717,1.122225436367179,69.20495990971129,23.160855455951708,,30.17,26.89,Silty,Flat
138,Rotavator,60.58054142607419,7.293907255860022,4.7204688080128285,64.08427319144891,22.33381348904849,,53.84,11.4,Loamy,Slightly Hilly
139,Harrow,55.05037037657478,4.230472310639283,2.231723552671201,39.464861916165674,14.57704980399628,,7.14,3.2,Clay,Slightly Hilly
140,Sprayer,59.54329390466454,9.626545233255062,1.270029819785108,78.62293270058713,,1.0737782593970002,33.68,26.52,Clay,Slightly Hilly
141,Rotavator,92.52378132386161,3.6574863578441024,3.9188756803033065,80.36949354036261,23.033484604070075,,35.97,9.18,Loamy,Hilly
142,Seeder,60.99672009786098,4.875506723795348,4.368407180731344,94.28022334937188,,2.4185972259995685,103.58,23.71,Silty,Flat
143,Plow,65.01218859146545,3.229449982280501,4.049502066922026,41.832005214253684,19.68746022136914,,13.32,3.29,Silty,Flat
144,Plow,52.133760817057556,4.22773624208669,3.0233409595127387,73.02839051737334,21.738533147997465,,9.36,3.1,Sandy,Very Hilly
145,Harrow,92.36438397027331,4.747004882380018,2.819247446675077,79.13323195937687,22.593335244670314,,48.11,17.06,Silty,Slightly Hilly
146,Rotavator,91.58618191629753,8.116016782986625,2.055920716270534,71.72073324595047,29.917890485727316,,45.84,22.3,Loamy,Very Hilly
147,Plow,97.41210648671743,3.4080483228162635,4.388353889947953,31.069822040527058,8.474114561574009,,5.57,1.27,Silty,Hilly
148,Plow,99.14324677729167,8.442605371085794,0.8127804226960809,78.23411901756269,10.025285216824809,,11.03,13.57,Silty,Flat
149,Plow,68.46026665231827,2.773376840298118,3.163234370485365,77.09421047929004,20.92345099528518,,12.3,3.89,Clay,Very Hilly
150,Sprayer,88.34383828904036,7.1469010021268105,4.045162342781942,57.74985093941818,,2.379561282689298,90.79,22.44,Sandy,Slightly Hilly
151,Harrow,63.41685080720524,2.4449402466854044,4.295614487137556,96.66308202199038,7.914743526091004,,10.51,2.45,Silty,Slightly Hilly
152,Seeder,81.49362502898585,5.675516818344403,1.0308419545828449,31.78767554202836,,1.3365105954912968,4.19,4.06,Sandy,Flat
153,Rotavator,57.954177876182214,3.030774141090708,1.834633873380346,70.85967365845852,25.079184778372795,,10.45,5.69,Silty,Slightly Hilly
154,Harrow,65.33924672844205,3.377748710440035,3.1163374713921956,62.23220557054091,16.912448853834103,,14.62,4.69,Clay,Hilly
155,Seeder,73.17412757850775,4.697116187772952,1.2660721513098405,34.24404219680844,,2.3245833184342897,12.0,9.48,Silty,Slightly Hilly
156,Sprayer,93.39486487556712,5.57839149210093,2.899593903945875,36.01058282124471,,3.0084139095286444,54.85,18.92,Loamy,Very Hilly
157,Harrow,84.21122500715066,2.440671046652774,4.009364239845221,70.76130957329403,18.31470692454137,,16.07,4.01,Loamy,Hilly
158,Seeder,53.2857254599961,7.717523885555649,1.7159976568117803,46.290681061301456,,1.8359991046957884,11.95,6.96,Loamy,Hilly
159,Plow,94.960857452009,6.952393211333656,0.6698254899639653,70.2293647139719,17.618710473314252,,7.42,11.08,Silty,Very Hilly
160,Rotavator,93.88001218149003,9.506198602173177,2.283663846950177,83.05383462782908,8.66149481980877,,32.09,14.05,Clay,Hilly
161,Sprayer,91.03604708651704,3.593169875880685,0.7638153651492156,83.96312588391606,,2.8031083059739634,15.29,20.01,Sandy,Very Hilly
162,Harrow,58.184636744027884,2.0909567626426364,1.5133115452470176,61.50334034316834,13.416246397376526,,2.22,1.47,Clay,Very Hilly
164,Seeder,90.46897211084327,3.5801480872136446,1.7765848521849845,46.71888455454474,,3.714198080359469,43.12,24.27,Clay,Flat
165,Harrow,89.52109999981938,8.741009378066305,2.168407199425231,78.95273194713724,7.4108168029977115,,23.67,10.91,Clay,Slightly Hilly
166,Sprayer,61.632721863408385,6.155052127133283,3.2719117428966085,57.030833208765046,,1.981491671464901,49.49,15.13,Clay,Very Hilly
167,Seeder,86.9571972494064,4.616880293791672,4.945818125601304,57.3327362414557,,2.985547458546388,88.17,17.83,Clay,Very Hilly
168,Harrow,97.35361048366991,5.373590065097781,2.5498977311317246,55.6737780764921,16.253138968228335,,22.78,8.93,Silty,Slightly Hilly
169,Rotavator,76.94009408528585,4.860383594337413,0.6680501996427801,31.595367675383564,25.840703409874152,,4.12,6.16,Silty,Hilly
170,Rotavator,88.52220793391874,7.818595108258407,1.6213867586088428,84.33587178514426,29.969030928959707,,50.77,31.32,Silty,Hilly
171,Plow,52.44070838165031,9.693381861885381,4.441510042536085,61.489131220757244,18.66473648567772,,44.86,10.1,Clay,Hilly
172,Plow,70.05812044008798,2.9433252158317496,3.125963273997975,93.74966631068664,5.112114238806122,,3.16,1.01,Sandy,Hilly
173,Plow,96.99586246885022,9.45603323330814,3.816701834649181,31.092429992385668,14.084362785171143,,22.06,5.78,Clay,Very Hilly
174,Harrow,60.235235012863036,7.2985223165684046,3.257860536342661,65.05085010471507,29.336777156260467,,49.0,15.04,Sandy,Flat
175,Plow,82.20719579366846,6.7585565044267994,1.045877323974935,76.32002584893988,19.419439866452425,,17.21,16.45,Clay,Flat
176,Plow,82.45650296781987,6.426633955530337,1.3189194146571754,61.85925517902007,10.87332817749705,,8.3,6.29,Silty,Flat
177,Sprayer,95.53196071091324,5.277833618184525,0.817417445903994,43.43746544269935,,2.7960193538992577,13.38,16.36,Sandy,Hilly
178,Harrow,84.9801409783681,6.238772736351696,1.7289439046470392,88.55360301224098,23.423021072799546,,20.65,11.94,Sandy,Very Hilly
179,Plow,81.55909765649615,3.007509605053417,0.9391299259657269,48.59463644270126,5.056762541098135,,1.12,1.19,Clay,Flat
180,Rotavator,50.46314869749358,8.68795602948921,2.7225699080600374,98.07981812532896,22.838717224735955,,54.81,20.13,Silty,Flat
181,Seeder,84.76273437309791,9.17214401276841,1.5005484131274751,44.521128528141574,,1.5729211628987811,20.02,13.34,Loamy,Flat
182,Seeder,65.6773040764018,8.715503834842707,3.4563307913397394,38.397039443688946,,2.77550292998676,59.59,17.24,Sandy,Flat
183,Sprayer,62.89351631098546,7.734679401802249,4.669498201604991,49.265273920198396,,3.020315492954386,138.26,29.61,Loamy,Hilly
184,Rotavator,89.9312516949378,7.429016465278643,4.037292699114651,46.276062912357894,5.231785541866955,,12.43,3.08,Silty,Slightly Hilly
185,Rotavator,59.92149355236128,3.6418465983321804,1.8974944829173723,73.615657810554,26.16545432356904,,12.43,6.55,Loamy,Very Hilly
186,Rotavator,60.78224555531811,5.61533998818063,2.9742888781592813,94.22756682940013,12.143738569615538,,16.77,5.64,Loamy,Slightly Hilly
187,Rotavator,84.4935214120618,9.446764473809012,0.5744744962733583,38.95970482332845,10.214843110097306,,2.84,4.95,Loamy,Very Hilly
188,Seeder,62.11644735363176,6.970788668671367,4.269297741494762,93.82429530235515,,1.620844893835799,69.58,16.3,Sandy,Flat
189,Sprayer,71.79635236572514,3.9523935703516315,4.502888570010498,90.70639149218783,,2.6651586009455355,88.15,19.58,Silty,Very Hilly
190,Harrow,78.34307834242799,7.7110090668274776,1.740970073453572,77.58417739052865,16.087132016644496,,28.4,16.31,Silty,Flat
191,Rotavator,79.8795797268023,7.115109868177121,4.631021985729459,68.04147109886719,26.452388421356705,,68.76,14.85,Sandy,Flat
192,Rotavator,70.3274607610076,5.809643051834841,4.32727361398189,65.89774077430958,13.781811296645408,,19.95,4.61,Sandy,Very Hilly
193,Sprayer,51.38753746565486,2.324179742695513,2.6905531381164898,38.53480195201909,,2.5603320890465975,8.27,3.07,Sandy,Very Hilly
194,Sprayer,99.6043639882276,4.173913854578489,1.8991944277869228,43.05514521629606,,1.4613720359585405,15.51,8.17,Loamy,Very Hilly
195,Plow,53.165280865619145,7.397705029818213,4.790593131931,55.919971106014614,12.75996535088401,,16.91,3.53,Silty,Very Hilly
196,Seeder,59.770995069645515,3.431297784947997,2.7766535588914176,65.20311809511479,,2.970882284220775,41.85,15.07,Clay,Slightly Hilly
197,Harrow,65.05782193006581,5.580447031859318,0.9739474572470388,42.850752360049185,24.424940050688498,,6.9,7.08,Clay,Very Hilly
198,Seeder,63.89002109557332,5.9841069905314495,4.687832587023735,34.86313642774441,,2.287791300211648,37.26,7.95,Clay,Very Hilly
199,Sprayer,64.18983879495917,8.276847401804098,2.4600671173666857,83.23751841767648,,1.7236733074044075,72.92,29.64,Clay,Slightly Hilly
200,Harrow,72.77140113570744,3.2194102532465374,3.966236908785055,40.31626449026225,14.899887243200503,,8.06,2.03,Loamy,Very Hilly
201,Rotavator,92.53387905939071,4.206303622362102,4.929050933817069,51.11268896690924,18.99807567791185,,17.76,3.6,Sandy,Very Hilly
202,Plow,59.78797373201929,7.647925680233078,0.8298699721564158,96.83325928994353,15.173142501913635,,9.38,11.3,Clay,Very Hilly
203,Harrow,74.91346436238132,2.073536780299257,4.865952527500699,62.92889251769323,23.854469624339437,,20.2,4.15,Loamy,Slightly Hilly
204,Harrow,59.472248450531,2.465889584659527,0.606280932833198,77.39942288678196,26.903593056117046,,5.49,9.05,Clay,Flat
205,Seeder,66.77796824810817,8.498836965039464,1.6410636145223418,77.98195506616483,,2.7599636745615843,48.59,29.61,Loamy,Hilly
206,Seeder,92.39671530944564,7.14605680799302,1.8421682089605251,55.19092094695506,,2.2771623882077825,35.32,19.17,Clay,Very Hilly
207,Rotavator,82.78729158243257,5.432443565776102,4.572473084943958,36.98438369284549,18.330668506821958,,20.87,4.56,Clay,Hilly
209,Rotavator,91.25666088688095,4.191947253179652,0.95556911731231,69.07085770777823,19.84461643273083,,7.86,8.23,Silty,Slightly Hilly
210,Harrow,71.10964186857345,3.966098114569329,4.446683082217113,63.210372869532904,18.529799839078724,,24.1,5.42,Loamy,Slightly Hilly
